Date,3M Bill Rates,SGDAUD,S&PAUX200
30/01/2015,0.00669,1.053727,5588.32
6/02/2015,0.00643,1.055262,5820.17
13/02/2015,0.0064,1.052949,5877.47
20/02/2015,0.00731,1.064272,5881.54
27/02/2015,0.0077,1.064618,5928.77
6/03/2015,0.00832,1.066861,5898.86
13/03/2015,0.00871,1.061448,5814.54
20/03/2015,0.00893,1.072695,5975.49
27/03/2015,0.00954,1.061404,5919.94
3/04/2015,0.01034,1.029176,5898.58
10/04/2015,0.00984,1.048939,5968.37
17/04/2015,0.0084,1.045902,5877.87
24/04/2015,0.00933,1.042705,5933.29
1/05/2015,0.00953,1.040762,5814.4
8/05/2015,0.00954,1.051020,5634.56
15/05/2015,0.00852,1.062700,5735.5
22/05/2015,0.00871,1.045850,5664.74
29/05/2015,0.00901,1.032516,5777.16
5/06/2015,0.0091,1.035221,5498.46
12/06/2015,0.00901,1.040034,5545.25
19/06/2015,0.0084,1.035592,5596.99
26/06/2015,0.00821,1.031538,5545.89
3/07/2015,0.00862,1.012908,5538.29
10/07/2015,0.00801,1.001744,5492.04
17/07/2015,0.00804,1.008629,5670.11
24/07/2015,0.00884,0.999164,5566.1
31/07/2015,0.00893,1.004811,5699.16
7/08/2015,0.00901,1.024605,5474.78
14/08/2015,0.00941,1.036530,5356.54
21/08/2015,0.0091,1.030021,5214.6
28/08/2015,0.00932,1.005679,5263.56
4/09/2015,0.00932,0.986785,5040.6
11/09/2015,0.01093,0.999272,5071.08
18/09/2015,0.01194,1.008061,5170.5
25/09/2015,0.01172,0.998309,5042.11
2/10/2015,0.01224,1.007054,5052.02
9/10/2015,0.01153,1.022558,5279.69
16/10/2015,0.01102,1.003867,5268.21
23/10/2015,0.01072,1.008458,5351.56
30/10/2015,0.01163,0.999187,5239.44
6/11/2015,0.01163,0.998902,5215.01
13/11/2015,0.01141,1.013389,5051.26
20/11/2015,0.01041,1.021792,5256.14
27/11/2015,0.00971,1.016158,5202.58
4/12/2015,0.00884,1.026636,5151.61
11/12/2015,0.0081,1.018385,5029.45
18/12/2015,0.00692,1.015397,5106.66
25/12/2015,0.00659,1.022244,5207.65
1/01/2016,0.00893,1.032135,5295.86
8/01/2016,0.00923,1.005384,4990.84
15/01/2016,0.00932,0.990717,4892.8
22/01/2016,0.00941,1.002963,4915.95
29/01/2016,0.00871,1.006771,5005.52
5/02/2016,0.00884,0.995937,4976.18
12/02/2016,0.00884,0.989675,4765.35
19/02/2016,0.00853,0.998235,4952.8
26/02/2016,0.00862,1.007230,4879.96
4/03/2016,0.0091,1.019373,5090.03
11/03/2016,0.00884,1.036255,5166.39
18/03/2016,0.00884,1.033695,5183.12
25/03/2016,0.00822,1.030178,5084.21
1/04/2016,0.0077,1.032431,4999.39
8/04/2016,0.0074,1.020247,4937.62
15/04/2016,0.00723,1.046242,5157.49
22/04/2016,0.00631,1.044826,5236.37
29/04/2016,0.00701,1.025712,5252.22
6/05/2016,0.00701,1.000014,5292.05
13/05/2016,0.00679,0.998227,5328.99
20/05/2016,0.00661,0.997945,5351.31
27/05/2016,0.00679,0.989164,5405.91
3/06/2016,0.00679,0.996734,5318.89
10/06/2016,0.0067,1.003939,5312.6
17/06/2016,0.00653,0.997092,5162.66
24/06/2016,0.00653,1.010656,5113.18
1/07/2016,0.00661,1.005805,5246.61
8/07/2016,0.00679,1.016109,5230.54
15/07/2016,0.0067,1.022631,5429.57
22/07/2016,0.0064,1.011347,5498.19
29/07/2016,0.0067,1.020823,5562.36
5/08/2016,0.00653,1.025078,5497.41
12/08/2016,0.0064,1.034593,5530.91
19/08/2016,0.00653,1.026933,5526.68
26/08/2016,0.00653,1.034393,5515.47
2/09/2016,0.0064,1.026876,5372.8
9/09/2016,0.0064,1.028219,5339.18
16/09/2016,0.00653,1.023437,5296.7
23/09/2016,0.0067,1.036844,5431.3
30/09/2016,0.00709,1.043380,5435.92
7/10/2016,0.0077,1.041101,5467.39
14/10/2016,0.00832,1.059099,5434.03
21/10/2016,0.0084,1.060466,5430.32
28/10/2016,0.00792,1.055958,5283.84
4/11/2016,0.00753,1.060622,5180.82
11/11/2016,0.00753,1.064733,5370.74
18/11/2016,0.00853,1.047909,5359.41
25/11/2016,0.00853,1.061153,5507.78
2/12/2016,0.00862,1.058517,5444.02
9/12/2016,0.00871,1.066754,5560.62
16/12/2016,0.01063,1.054035,5532.93
23/12/2016,0.01085,1.038114,5627.95
30/12/2016,0.01063,1.046107,5665.79
6/01/2017,0.00954,1.051007,5755.58
13/01/2017,0.00893,1.071884,5721.12
20/01/2017,0.00853,1.076798,5654.75
27/01/2017,0.00862,1.078031,5713.99
3/02/2017,0.00792,1.081529,5621.58
10/02/2017,0.0081,1.089967,5720.61
17/02/2017,0.00784,1.087192,5805.82
24/02/2017,0.00823,1.079334,5738.98
3/03/2017,0.00801,1.070944,5729.6
10/03/2017,0.00823,1.066382,5775.62
17/03/2017,0.00871,1.078068,5799.65
24/03/2017,0.00932,1.065847,5753.55
31/03/2017,0.00932,1.065930,5864.91
7/04/2017,0.00932,1.053057,5862.47
14/04/2017,0.00971,1.059649,5889.95
21/04/2017,0.00954,1.051232,5854.14
28/04/2017,0.00962,1.045270,5924.06
5/05/2017,0.00941,1.040095,5836.56
12/05/2017,0.00932,1.038325,5836.9
19/05/2017,0.00941,1.031164,5727.41
26/05/2017,0.00932,1.029043,5751.66
2/06/2017,0.00941,1.027639,5788.11
9/06/2017,0.00963,1.042384,5677.8
16/06/2017,0.00971,1.053887,5774.03
23/06/2017,0.00954,1.049612,5715.87
30/06/2017,0.00984,1.056113,5721.49
7/07/2017,0.01041,1.050759,5703.57
14/07/2017,0.01054,1.071112,5765.12
21/07/2017,0.01032,1.078804,5722.84
28/07/2017,0.01063,1.086223,5702.82
4/08/2017,0.01085,1.076948,5720.58
11/08/2017,0.01093,1.072410,5693.14
18/08/2017,0.01141,1.078751,5747.11
25/08/2017,0.01155,1.076505,5743.86
1/09/2017,0.01161,1.082583,5724.59
8/09/2017,0.01155,1.081315,5672.62
15/09/2017,0.01185,1.076951,5695.02
22/09/2017,0.01185,1.072670,5682.14
29/09/2017,0.01185,1.065516,5681.61
6/10/2017,0.01194,1.059755,5710.68
13/10/2017,0.01194,1.065105,5814.15
20/10/2017,0.01203,1.063639,5906.99
27/10/2017,0.01224,1.046471,5903.16
3/11/2017,0.01233,1.043171,5959.88
10/11/2017,0.01233,1.043003,6029.37
17/11/2017,0.01255,1.023357,5957.25
24/11/2017,0.01275,1.025379,5982.55
1/12/2017,0.01412,1.023064,5989.76
8/12/2017,0.01474,1.016171,5994.37
15/12/2017,0.01496,1.031144,5996.97
22/12/2017,0.01587,1.037492,6069.71
29/12/2017,0.01789,1.045265,6065.13
5/01/2018,0.01554,1.042992,6122.35
12/01/2018,0.01203,1.047622,6070.05
19/01/2018,0.01185,1.056772,6005.81
26/01/2018,0.01163,1.058225,6050.02
2/02/2018,0.01203,1.047193,6121.39
9/02/2018,0.01255,1.037365,5837.97
16/02/2018,0.01252,1.038625,5904.04
23/02/2018,0.01426,1.033457,5999.79
2/03/2018,0.01474,1.023745,5928.9
9/03/2018,0.01574,1.030682,5963.23
16/03/2018,0.01574,1.018889,5949.42
23/03/2018,0.01727,1.014389,5820.73
30/03/2018,0.01628,1.005851,5759.37
6/04/2018,0.01557,1.012170,5788.74
13/04/2018,0.01456,1.019548,5829.08
20/04/2018,0.01443,1.010118,5868.78
27/04/2018,0.01535,1.002788,5953.65
4/05/2018,0.01504,1.004425,6062.89
11/05/2018,0.01566,1.007626,6116.19
18/05/2018,0.01557,1.009826,6087.36
25/05/2018,0.01596,1.013235,6032.82
1/06/2018,0.01605,1.012086,5990.39
8/06/2018,0.01719,1.015018,6045.18
15/06/2018,0.01705,1.006629,6094.03
22/06/2018,0.01706,1.008360,6225.22
29/06/2018,0.01736,1.007422,6194.63
6/07/2018,0.01697,1.008532,6272.29
13/07/2018,0.01657,1.012941,6268.39
20/07/2018,0.01655,1.010656,6285.85
27/07/2018,0.01655,1.007957,6300.23
3/08/2018,0.01697,1.010749,6234.78
10/08/2018,0.01706,1.003494,6278.39
17/08/2018,0.01698,0.999358,6339.23
24/08/2018,0.01657,1.000623,6247.33
31/08/2018,0.01697,0.990820,6319.5
7/09/2018,0.01758,0.984257,6143.81
14/09/2018,0.01756,0.985158,6165.33
21/09/2018,0.01776,0.994370,6194.56
28/09/2018,0.01806,0.988623,6207.56
5/10/2018,0.01828,0.976214,6185.49
12/10/2018,0.01868,0.980725,5895.67
19/10/2018,0.01907,0.982283,5939.49
26/10/2018,0.01898,0.977770,5665.16
2/11/2018,0.01929,0.989319,5849.21
9/11/2018,0.01969,0.998691,5921.85
16/11/2018,0.0196,1.003860,5730.55
23/11/2018,0.02008,0.993810,5716.2
30/11/2018,0.02008,1.001903,5667.16
7/12/2018,0.02028,0.988725,5681.49
14/12/2018,0.0203,0.987755,5601.98
21/12/2018,0.0203,0.971723,5467.64
28/12/2018,0.0214,0.961151,5654.32
4/01/2019,0.02008,0.966189,5619.35
11/01/2019,0.0192,0.973904,5774.58
18/01/2019,0.0192,0.975152,5879.59
25/01/2019,0.01968,0.970201,5905.61
1/02/2019,0.0197,0.979581,5862.83
8/02/2019,0.01991,0.961617,6071.46
15/02/2019,0.01999,0.967042,6066.1
22/02/2019,0.0196,0.964077,6167.31
1/03/2019,0.01999,0.960383,6192.73
8/03/2019,0.01999,0.956562,6203.76
15/03/2019,0.01991,0.958868,6175.17
22/03/2019,0.01991,0.958771,6195.23
29/03/2019,0.02069,0.962169,6180.73
5/04/2019,0.0196,0.962773,6181.26
12/04/2019,0.01969,0.971255,6251.32
19/04/2019,0.01987,0.969656,6259.81
26/04/2019,0.01977,0.957996,6385.65
3/05/2019,0.01999,0.954972,6335.8
10/05/2019,0.0203,0.953347,6310.85
17/05/2019,0.02038,0.947032,6365.3
24/05/2019,0.02061,0.951227,6456.04
31/05/2019,0.02048,0.953604,6396.85
7/06/2019,0.02008,0.954818,6443.89
14/06/2019,0.01999,0.942629,6554
21/06/2019,0.0196,0.938396,6650.78
28/06/2019,0.01991,0.949433,6618.77
5/07/2019,0.01956,0.948893,6751.28
12/07/2019,0.01856,0.952363,6696.55
19/07/2019,0.01846,0.958460,6700.35
26/07/2019,0.01856,0.946566,6793.39
2/08/2019,0.01868,0.935469,6768.57
9/08/2019,0.01897,0.941022,6584.43
16/08/2019,0.0189,0.939426,6405.53
23/08/2019,0.01877,0.937963,6523.13
30/08/2019,0.01877,0.934626,6604.22
6/09/2019,0.0192,0.945991,6647.33
13/09/2019,0.01938,0.945241,6669.18
20/09/2019,0.01938,0.932408,6730.75
27/09/2019,0.02021,0.934743,6716.12
